use_date,state,door,account,ext_doc_id,ext_doc_type,product_name,promo_name,unit_price,quantity,full_price,discount,dollar_vol,assigned_rep,sales_rep,packout,format,flavor,lite,sku,is_sample,is_promotion,fam_mapping
2020-11-25,RI,Summit,Summit,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,77.0,0.77,0.0,0.77,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,25.0,0.25,0.0,0.25,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,13.0,0.13,0.0,0.13,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,10.0,0.1,0.0,0.1,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,60.0,0.6,0.0,0.6,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,20.0,0.2,0.0,0.2,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,GR - promo - 8oz - 6pk,promo,0.01,77.0,0.77,0.0,0.77,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,25.0,0.25,0.0,0.25,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-02-04,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,GR - promo - 8oz - 6pk,promo,0.01,13.0,0.13,0.0,0.13,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-03-31,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,17.0,0.17,0.0,0.17,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
