Name,Invoice,Status,delivery_date,variable,value,unit_price,dollar_val
Curaleaf - Skokie,INV-045491,Delivered,6/29/21,BOC - wholesale,84,12.0,1008.0
Curaleaf - Mokena,INV-045492,Delivered,6/29/21,BOC - wholesale,56,12.0,672.0
Curaleaf - Westmont,INV-045493,Delivered,6/29/21,BOC - wholesale,20,12.0,240.0
EarthMed - Rosemont ,INV-045494,Delivered,6/29/21,BOC - wholesale,8,12.0,96.0
Ascend - Collinsville,INV-045496,Delivered,6/29/21,BOC - wholesale,16,12.0,192.0
Zen Leaf - Evanston,INV-045497,Delivered,6/29/21,BOC - wholesale,8,12.0,96.0
Enlightened - Mount Prospect,INV-045498,Delivered,6/29/21,BOC - wholesale,8,12.0,96.0
Enlightened - Mount Prospect,INV-045499,Delivered,6/29/21,BOC - wholesale,8,12.0,96.0
Zen Leaf - Lombard,INV-045500,Delivered,6/29/21,BOC - wholesale,28,12.0,336.0
Windy City - Litchfield,INV-045501,Delivered,6/29/21,BOC - wholesale,16,12.0,192.0
Windy City - Litchfield,INV-045502,Delivered,6/29/21,BOC - wholesale,16,12.0,192.0
Windy City - Highwood,INV-045503,Delivered,6/29/21,BOC - wholesale,72,12.0,864.0
Rise - Lake in the Hills,INV-045509,Delivered,6/29/21,BOC - wholesale,200,12.0,2400.0
Curaleaf - Worth,INV-045589,Delivered,6/30/21,BOC - wholesale,80,12.0,960.0
Ascend - Horizon,INV-045590,Delivered,6/30/21,BOC - wholesale,24,12.0,288.0
Windy City - Macomb,INV-045593,Delivered,6/30/21,BOC - wholesale,72,12.0,864.0
Rise - Effingham,INV-045602,Delivered,6/30/21,BOC - wholesale,60,12.0,720.0
Rise - Naperville,INV-045603,Delivered,6/30/21,BOC - wholesale,36,12.0,432.0
Nature's Care - West Loop,INV-045604,Delivered,6/30/21,BOC - wholesale,24,12.0,288.0
Sunnyside - Naperville,INV-045605,Delivered,6/30/21,BOC - wholesale,40,12.0,480.0
Rise - Joliet (Colorado Ave),INV-039084,Delivered,4/8/21,GR - wholesale,96,12.0,1152.0
Rise - Niles,INV-039085,Delivered,4/8/21,GR - wholesale,92,12.0,1104.0
Rise - Canton,INV-039193,Delivered,4/9/21,GR - wholesale,20,12.0,240.0
Rise - Effingham,INV-039194,Delivered,4/9/21,GR - wholesale,68,12.0,816.0
Rise - Joliet (Rock Creek),INV-039195,Delivered,4/9/21,GR - wholesale,32,12.0,384.0
Rise - Naperville,INV-039196,Delivered,4/9/21,GR - wholesale,92,12.0,1104.0
Rise - Quincy,INV-039197,Delivered,4/9/21,GR - wholesale,44,12.0,528.0
Rise - Lake in the Hills,INV-039198,Delivered,4/9/21,GR - wholesale,84,12.0,1008.0
Ascend - Fairview,INV-039629,Delivered,4/15/21,GR - wholesale,64,12.0,768.0
Ascend - Collinsville,INV-039630,Delivered,4/15/21,GR - wholesale,64,12.0,768.0
Ascend - Springfield,INV-039696,Delivered,4/16/21,GR - wholesale,72,12.0,864.0
Ascend - Horizon,INV-039697,Delivered,4/16/21,GR - wholesale,72,12.0,864.0
Midway - Chicago Archer,INV-039698,Delivered,4/16/21,GR - wholesale,72,12.0,864.0
Midway - Chicago Ridge,INV-039699,Delivered,4/16/21,GR - wholesale,72,12.0,864.0
MOCA - Logan Square,INV-039700,Delivered,4/16/21,GR - wholesale,60,12.0,720.0
MOCA - River North,INV-039701,Delivered,4/16/21,GR - wholesale,60,12.0,720.0
Ascend - Fairview,INV-039838,Delivered,4/19/21,GR - wholesale,52,12.0,624.0
Rise - Effingham,INV-039839,Delivered,4/19/21,GR - wholesale,40,12.0,480.0
Rise - Joliet (Colorado Ave),INV-039840,Delivered,4/19/21,GR - wholesale,60,12.0,720.0
Rise - Joliet (Rock Creek),INV-039841,Delivered,4/19/21,GR - wholesale,32,12.0,384.0
Rise - Naperville,INV-039842,Delivered,4/19/21,GR - wholesale,40,12.0,480.0
Rise - Niles,INV-039843,Delivered,4/19/21,GR - wholesale,56,12.0,672.0
Rise - Canton,INV-039845,Delivered,4/19/21,GR - wholesale,20,12.0,240.0
Rise - Quincy,INV-039846,Delivered,4/19/21,GR - wholesale,20,12.0,240.0
Ascend - Fairview,INV-039854,Delivered,4/19/21,GR - wholesale,52,12.0,624.0
Rise - Effingham,INV-039855,Delivered,4/19/21,GR - wholesale,40,12.0,480.0
Rise - Joliet (Colorado Ave),INV-039856,Delivered,4/19/21,GR - wholesale,52,12.0,624.0
Rise - Joliet (Rock Creek),INV-039857,Delivered,4/19/21,GR - wholesale,32,12.0,384.0
Rise - Naperville,INV-039858,Delivered,4/19/21,GR - wholesale,40,12.0,480.0
Rise - Niles,INV-039859,Delivered,4/19/21,GR - wholesale,56,12.0,672.0
Rise - Canton,INV-039861,Delivered,4/19/21,GR - wholesale,20,12.0,240.0
Rise - Quincy,INV-039862,Delivered,4/19/21,GR - wholesale,20,12.0,240.0
Ascend - Fairview,INV-039963,Delivered,4/19/21,GR - wholesale,-52,12.0,-624.0
Rise - Effingham,INV-039964,Delivered,4/19/21,GR - wholesale,-40,12.0,-480.0
Rise - Joliet (Colorado Ave),INV-039965,Delivered,4/19/21,GR - wholesale,-52,12.0,-624.0
Rise - Joliet (Rock Creek),INV-039966,Delivered,4/19/21,GR - wholesale,-32,12.0,-384.0
Rise - Naperville,INV-039967,Delivered,4/19/21,GR - wholesale,-40,12.0,-480.0
Rise - Niles,INV-039968,Delivered,4/19/21,GR - wholesale,-56,12.0,-672.0
Rise - Canton,INV-039970,Delivered,4/19/21,GR - wholesale,-20,12.0,-240.0
Rise - Quincy,INV-039971,Delivered,4/19/21,GR - wholesale,-20,12.0,-240.0
Rise - Joliet (Colorado Ave),INV-040065,Delivered,4/19/21,GR - wholesale,-52,12.0,-624.0
MedMen - Oak Park,INV-039938,Delivered,4/20/21,GR - wholesale,20,12.0,240.0
Ascend - Fairview,INV-040012,Delivered,4/21/21,GR - wholesale,172,12.0,2064.0
Ascend - Collinsville,INV-040105,Delivered,4/22/21,GR - wholesale,66,12.0,792.0
Ascend - Collinsville,INV-040202,Delivered,4/23/21,GR - wholesale,88,12.0,1056.0
Ascend - Springfield,INV-040226,Delivered,4/23/21,GR - wholesale,72,12.0,864.0
Ascend - Collinsville,INV-040227,Delivered,4/23/21,GR - wholesale,-88,12.0,-1056.0
Rise - Effingham,INV-040515,Delivered,4/28/21,GR - wholesale,148,12.0,1776.0
Rise - Joliet (Colorado Ave),INV-040516,Delivered,4/28/21,GR - wholesale,172,12.0,2064.0
Rise - Joliet (Rock Creek),INV-040517,Delivered,4/28/21,GR - wholesale,72,12.0,864.0
Rise - Naperville,INV-040518,Delivered,4/28/21,GR - wholesale,72,12.0,864.0
Rise - Niles,INV-040519,Delivered,4/28/21,GR - wholesale,168,12.0,2016.0
Rise - Lake in the Hills,INV-040520,Delivered,4/28/21,GR - wholesale,160,12.0,1920.0
MedMen - Oak Park,INV-040608,Delivered,4/29/21,GR - wholesale,20,12.0,240.0
MOCA - Logan Square,INV-040609,Delivered,4/29/21,GR - wholesale,60,12.0,720.0
MOCA - River North,INV-040610,Delivered,4/29/21,GR - wholesale,120,12.0,1440.0
Rise - Canton,INV-040611,Delivered,4/29/21,GR - wholesale,40,12.0,480.0
Ascend - Collinsville,INV-040666,Delivered,4/30/21,GR - wholesale,40,12.0,480.0
Ascend - Horizon,INV-040668,Delivered,4/30/21,GR - wholesale,72,12.0,864.0
Ascend - Fairview,INV-040669,Delivered,4/30/21,GR - wholesale,96,12.0,1152.0
Rise - Joliet (Colorado Ave),INV-040962,Delivered,5/4/21,GR - wholesale,40,12.0,480.0
Rise - Joliet (Rock Creek),INV-040963,Delivered,5/4/21,GR - wholesale,40,12.0,480.0
Rise - Naperville,INV-040964,Delivered,5/4/21,GR - wholesale,56,12.0,672.0
Rise - Niles,INV-040965,Delivered,5/4/21,GR - wholesale,140,12.0,1680.0
